Radium sorption experiment with ferrihydrite at pH 3 performed 6/17/2015,,,,
Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Vol Err
5000_A,95.5,14.47,0.2,0.002
5000_B,92,14.74,0.2,0.002
5000_C,100.5,14.11,0.2,0.002
5000_A_NoFHY,102.5,13.97,0.2,0.002
5000_B_NoFHY,97.5,14.32,0.2,0.002
5000_C_NoFHY,97.5,14.32,0.2,0.002
10000_A,136,12.13,0.4,0.002
10000_B,117,13.07,0.4,0.002
10000_C,130.5,12.38,0.4,0.002
25000_A,246.5,9.01,1,0.002
25000_B,216.5,9.61,1,0.002
25000_C,231,9.3,1,0.002
50000_A,439,6.75,2,0.01
50000_B,434,6.79,2,0.01
50000_C,442,6.73,2,0.01
75000_A,557.5,5.99,3,0.01
75000_B,549,6.04,3,0.01
75000_C,586.5,5.84,3,0.01
100000_A,832,4.9,4,0.01
100000_B,813,4.96,4,0.01
100000_C,808.5,4.97,4,0.01
