,Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Vol Err,Cw (DPM/mL),dCw (DPM/mL),Total Activity (DPM),dTotal Activity (DPM),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,66.5,17.34,0.2,0.002,34.8299971267,6.28559000572,2704.53618291,36.567289529,-64.1890305212,-52.0036320097
1,5000_B,61.0,18.11,0.2,0.002,31.9493206726,6.00249514869,2704.53618291,36.567289529,-40.4361093164,-49.6630581718
2,5000_C,60.5,18.18,0.2,0.002,31.687440995,5.97467855362,2704.53618291,36.567289529,-38.2767528432,-49.4332134359
3,10000_A,77.5,16.06,0.4,0.002,40.5913500349,6.82760021815,5409.07236581,56.1632608081,111.310507478,56.5970628598
4,10000_B,86.0,15.25,0.4,0.002,45.0433045548,7.22888907198,5409.07236581,56.1632608081,74.6014474348,59.9132485962
5,10000_C,56.0,18.9,0.4,0.002,29.3305238962,5.73417368202,5409.07236581,56.1632608081,204.162835824,47.5758030447
6,10000_A_NoFHY,82.5,15.57,0.4,0.002,43.2101468113,7.06621199918,5409.07236581,56.1632608081,89.7169427469,58.56854869
7,10000_B_NoFHY,99.0,14.21,0.4,0.002,51.8521761736,7.81101188763,5409.07236581,56.1632608081,18.4581791326,64.7286645192
8,10000_C_NoFHY,88.0,15.08,0.4,0.002,46.0908232654,7.32258879649,5409.07236581,56.1632608081,65.9640215421,60.6878509316
9,25000_A,148.0,11.62,1.0,0.002,77.5163845828,9.80588086343,13522.6809145,125.993365985,475.85738599,81.7959070145
10,25000_B,152.0,11.47,1.0,0.002,79.6114220039,9.96132330693,13522.6809145,125.993365985,458.582534205,83.0779652925
11,25000_C,142.0,11.87,1.0,0.002,74.373828451,9.57942128379,13522.6809145,125.993365985,501.769663668,79.9282000309
12,50000_A,258.0,8.8,2.0,0.01,135.129913665,13.6768563091,27045.3618291,280.81630404,1115.82586394,115.719471152
13,50000_B,242.0,9.09,2.0,0.01,126.74976398,13.1495229108,27045.3618291,280.81630404,1184.92527108,111.412425787
14,50000_C,222.0,9.49,2.0,0.01,116.274576874,12.4723170251,27045.3618291,280.81630404,1271.29953001,105.895862829
15,75000_A,331.5,7.77,3.0,0.01,173.626226278,16.0426217202,40568.0427436,393.156686315,1913.42736443,137.022643909
16,75000_B,345.5,7.61,3.0,0.01,180.958857252,16.4774044758,40568.0427436,393.156686315,1852.96538318,140.556092994
17,75000_C,369.0,7.36,3.0,0.01,193.267202102,17.1963939136,40568.0427436,393.156686315,1751.47562895,146.412620363
18,100000_A,473.0,6.5,4.0,0.01,247.738175052,20.3160408967,54090.7236581,510.462845587,2417.35638457,174.05167379
19,100000_B,502.5,6.31,4.0,0.01,263.189076033,21.1889437161,54090.7236581,510.462845587,2289.95435266,181.153044492
20,100000_C,516.5,6.22,4.0,0.01,270.521707007,21.5889881751,54090.7236581,510.462845587,2229.49237141,184.416048201
