,Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Vol Err,Cw (DPM/mL),dCw (DPM/mL),Total Activity (DPM),dTotal Activity (DPM),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,25000_A,338.8,3.44,1,0.002,177.449669572,10.769543102,4484.4956887,26.6667284821,-110.06476508,-9.07444592998
1,25000_B,329.1,3.49,1,0.002,172.369203826,10.510296126,4484.4956887,26.6667284821,-105.847869183,-8.85493664952
2,25000_C,145.73,4.28,1,0.002,76.3274508463,5.02362209445,4484.4956887,26.6667284821,-26.1311474654,-4.22824022445
3,50000_A,339.5,3.43,2,0.004,177.816301121,10.7817253971,8968.9913774,53.3334569642,-73.1467979101,-9.0930364424
4,50000_B,360.3,3.33,2,0.004,188.710495711,11.3366014249,8968.9913774,53.3334569642,-82.1892138545,-9.56252378954
5,50000_C,366.5,3.3,2,0.004,191.957803713,11.4998586287,8968.9913774,53.3334569642,-84.8845493764,-9.70073474509
6,75000_A,521.7,2.77,3,0.006,273.245255654,15.6187571335,13453.4870661,80.0001854463,-115.132604486,-13.197529295
7,75000_B,464.8,2.93,3,0.006,243.443348338,14.1081459056,13453.4870661,80.0001854463,-90.3963800992,-11.9192278847
8,75000_C,507.6,2.81,3,0.006,265.860248745,15.2484469562,13453.4870661,80.0001854463,-109.002889831,-12.8840033005
9,100000_A,674.9,2.43,4,0.008,353.485188884,19.6510107308,17937.9827548,106.666913928,-144.511196523,-16.6227417127
10,100000_B,632.0,2.52,4,0.008,331.015912543,18.534053606,17937.9827548,106.666913928,-125.861213638,-15.6768453678
