,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,100000 DPM with FHY,2193.0,3.02,100000,2283.961585911099,134.597621638081,-9876.627583931531,-1054.48256324911
1,75000 DPM with FHY,1232.5,4.03,75000,1250.7638743905868,82.25385613680855,-3852.029803004514,-643.3284848799233
2,50000 DPM with FHY,1008.0,4.45,50000,1009.2720615469062,69.81931966854647,-3917.477396514663,-544.5831968714006
3,25000 DPM with FHY,427.0,6.84,25000,384.2977040316353,36.82748907088487,-1033.05926178181,-285.6319288251234
4,10000 DPM with FHY,251.5,8.92,10000,195.5145719422548,26.036637436915555,-734.7274764788831,-201.05065976748938
5,5000 DPM with FHY,151.5,11.49,5000,87.94583570898956,19.234261320871912,-291.8910439153043,-148.17620407208528
6,5000 DPM without FHY,129.0,12.45,5000,63.74287005650487,17.56760449038364,-105.71438505003746,-135.28814191034687
7,0 DPM with FHY,55.0,19.07,0,-15.857994756111395,-11.310174733194906,121.98457504701074,87.01077389462758
8,0 DPM without FHY,59.0,18.41,0,-11.55524530678079,-11.698285183502096,88.88650235985223,89.99164996838398
9,0.01 uCi/g stock solution,52794.5,0.62,22200,56715.355650986814,2857.5432892687145,-434564.2742383601,-22453.459752529052
10,100000 DPM with FHY,1422.5,3.75,100000,1455.144473233791,92.66183423249193,-3501.1113325676215,-726.4922934380179
11,75000 DPM with FHY,1225.5,4.04,75000,1243.2340628542584,81.85620516349897,-3794.1081758019873,-640.2246227701454
12,100000 DPM pre FHY,2181.0,3.03,100000,2271.0533375631076,133.96803463346222,-9777.333365870058,-1049.545044340737
13,75000 DPM FHY,1768.5,3.36,75000,1827.3323006008886,111.50562863045108,-8287.171543083758,-872.2521770436988
