,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,25000_A,338.8,3.44,45675,369.880156067,18.4940452139,217.21210064,48.8965576086
1,25000_B,329.1,3.49,45675,357.14243685,17.8571617042,249.061895958,47.4179931906
2,25000_C,145.73,4.28,45675,116.347016968,5.81753401634,851.154366825,27.8726597004
3,50000_A,339.5,3.43,91350,370.799372918,18.5400057497,1356.98578345,62.0254159461
4,50000_B,360.3,3.33,91350,398.113245054,19.9056948577,1288.68931514,63.9043533068
5,50000_C,366.5,3.3,91350,406.254880017,20.3127753895,1268.33171401,64.4985782584
6,75000_A,521.7,2.77,137025,610.058387493,30.5029342469,1900.80711058,96.7978076053
7,75000_B,464.8,2.93,137025,535.339189198,26.7669783459,2087.63735321,91.7104541402
8,75000_C,507.6,2.81,137025,591.542733785,29.5771524558,1947.10423573,95.4534740978
9,100000_A,674.9,2.43,182700,811.235561109,40.5617867893,2539.84947525,128.902963333
10,100000_B,632.0,2.52,182700,754.900699829,37.7450450364,2680.71094114,124.932196434
