Radium sorption experiment with ferrihydrite at pH 3 performed 7/16/2015,,,
Sample ID,Scintillation Counts (CPM),% Error,Total Activity
5000_A,104.4,5.05,9135
5000_B,105.27,5.03,9135
5000_C,105.6,5.03,9135
10000_A,160.07,4.08,18270
10000_B,156.13,4.13,18270
10000_C,152.87,4.18,18270
10000_A_NoFHY,158.73,4.1,18270
10000_B_NoFHY,158.53,4.1,18270
10000_C_NoFHY,160.07,4.08,18270
25000_A,308.33,2.94,45675
25000_B,306.4,2.95,45675
25000_C,322.93,2.87,45675
50000_A,542,2.22,91350
50000_B,554.67,2.19,91350
50000_C,530.53,2.24,91350
75000_A,763.33,1.87,137025
75000_B,739.07,1.9,137025
75000_C,764.13,1.87,137025
100000_A,1013.6,1.62,182700
100000_B,1097.93,1.56,182700
100000_C,1055.87,1.59,182700
