,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,pH3_A,759.67,1.08,100000,922.552721732,46.1276378652,1938.12682821,1207.42145623
1,pH3_B,737.73,1.1,100000,893.741839296,44.6870938455,2659.12239373,1172.95114905
2,pH3_C,731.93,1.1,100000,886.125471105,44.3062754491,2849.72286228,1163.94147042
3,pH5_A,497.6,1.34,100000,578.411064489,28.9205571395,10550.3104133,852.46857657
4,pH5_B,499.96,1.33,100000,581.510138443,29.0755107645,10472.7557399,854.904934209
5,pH5_C,577.09,1.24,100000,682.794703724,34.1397381051,7938.09812961,943.962818748
6,pH7_A,405.56,1.48,100000,457.547180288,22.8773649045,13574.9426763,773.848231443
7,pH7_B,424.76,1.45,100000,482.759985337,24.1380046491,12943.9894011,787.389013607
8,pH7_C,406.56,2.75,100000,458.860347218,22.9430367814,13542.0805265,774.513099898
9,pH9_A,117.93,2.75,100000,79.8409763244,3.99215982751,23027.0828089,794.51209778
10,pH9_B,117.13,2.78,100000,78.7904427807,3.93963706598,23053.3725287,795.142995017
11,pH9_C,115.22,2.75,100000,76.2822939452,3.81423088461,23116.1392348,796.660066943
12,pH11_A,117.33,2.71,100000,79.0530761667,3.9527627288,23046.8000988,794.985003471
13,pH11_B,120.64,2.71,100000,83.3996587037,4.17008618212,22938.0263831,792.394959207
14,pH11_C,117.42,2.75,100000,79.1712611903,3.95867500935,23043.8425053,794.913979809
15,Filtered_Stock,20507.4,0.21,25000,26854.6186926,1342.7309396,-665783.567809,-40565.1219806
16,Unfiltered_Stock,25034.82,0.19,25000,32799.876913,1639.99385171,-814564.321832,-49569.6309693
