Total Radium Added,Cw,sCw,Cs,sCs
5000,51.04322556,5.609851582,-26.1722418,140.7388756
9135,62.97991295,0.814057589,710.3255492,20.38223932
10000,92.84570615,12.83840356,179.4855456,322.0873948
18270,130.3016042,4.734423605,1311.942371,118.5397155
25000,228.7584834,19.70115129,532.9030766,494.2586877
45675,335.4139014,11.86856176,3037.993177,297.1630871
50000,500.5840378,5.307100962,-14.65222766,133.1435264
75000,666.0430709,25.81912382,2106.29526,647.7452038
91350,637.2409429,15.85645125,6916.928597,397.0112049
100000,998.9308876,16.3795314,26.82168637,410.9265279
100000,900.8066774,19.21379973,2482.324028,480.8274939
137025,917.0899473,18.70353574,11346.14648,468.2960356
182700,1311.420845,55.36974081,12908.98565,1386.338416
