,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,75.0,5.96,9135,5.65575249054,0.289982882567,214.272602225,5.71799825631
1,5000_B,77.8,5.85,9135,8.66767710507,0.437941196799,206.741490819,5.6159432381
2,5000_C,78.0,5.85,9135,8.88281457754,0.448588802684,206.20355429,5.60982542983
3,10000_A,85.33,5.59,18270,16.7676029434,0.84054034236,414.902604831,11.2451076869
4,10000_B,92.93,5.36,18270,24.9428268972,1.24847785582,394.461016729,11.059436391
5,10000_C,92.87,5.36,18270,24.8782856554,1.24525425715,394.622397687,11.0604408073
6,10000_A_NoFHY,101.8,5.12,18270,34.4841738011,1.72509131624,370.603531667,10.9934836113
7,10000_B_NoFHY,98.67,5.2,18270,31.117272357,1.55687236163,379.022238346,10.9979258504
8,10000_C_NoFHY,104.47,5.05,18270,37.3562590585,1.86860571359,363.422079005,11.0059750316
9,100000_C,656.9,2.47,182700,631.598228632,31.5799229966,2989.02033333,117.633144272
