,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,104.4,5.05,9135,37.2809609431,1.8648424082,1353.77166078,65.7331808999
1,5000_B,105.27,5.03,9135,38.2168089484,1.9116092643,1330.34005315,66.2135657255
2,5000_C,105.6,5.03,9135,38.5717857779,1.92935103372,1321.45220197,66.4023552226
3,10000_A,160.07,4.08,18270,97.1644764042,4.85842325211,2141.62429837,146.117309777
4,10000_B,156.13,4.13,18270,92.9262681966,4.64652704408,2247.73985478,142.893967885
5,10000_C,152.87,4.18,18270,89.4195273954,4.47120375445,2335.5410512,140.379728003
6,10000_A_NoFHY,158.73,4.1,18270,95.7230553387,4.78635717791,2177.7143607,144.999112385
7,10000_B_NoFHY,158.53,4.1,18270,95.5079178662,4.7756007645,2183.10093717,144.834124322
8,10000_C_NoFHY,160.07,4.08,18270,97.1644764042,4.85842325211,2141.62429837,146.117309777
9,25000_A,308.33,2.94,45675,256.645884744,12.8323337469,5010.17375497,376.431409822
10,25000_B,306.4,2.95,45675,254.569808134,12.7285305049,5062.15421788,374.698002808
11,25000_C,322.93,2.87,45675,272.350920234,13.6175815259,4616.95367285,390.067083481
12,50000_A,542.0,2.22,91350,508.0017507,25.4000991572,10152.7981258,748.450355799
13,50000_B,554.67,2.19,91350,521.630709581,26.0815465125,9811.55850654,759.923996963
14,50000_C,530.53,2.24,91350,495.663616654,24.7831929446,10461.7182862,738.37763626
15,75000_A,763.33,1.87,137025,746.083634605,37.3041875462,15627.7742646,1109.65151506
16,75000_B,739.07,1.9,137025,719.987459195,35.9993791523,16281.1659901,1089.05055226
17,75000_C,764.13,1.87,137025,746.944184495,37.3472150346,15606.2279587,1110.3468749
18,100000_A,1013.6,1.62,182700,1015.29591078,50.764798957,20323.3127886,1496.31417399
19,100000_B,1097.93,1.56,182700,1106.00862604,55.3004342913,18052.0628211,1575.26977657
20,100000_C,1055.87,1.59,182700,1060.76521558,53.0382639719,19184.8598522,1534.9529273
