,Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,95.5,14.47,0.2,34.9149673147,1.74574836589,-796.596766251,-52.5979477044
1,5000_B,92.0,14.74,0.2,34.8761318352,1.74380659192,-795.622469225,-52.537849642
2,5000_C,100.5,14.11,0.2,34.9705215986,1.74852608008,-797.990501423,-52.683918436
3,5000_A_NoFHY,102.5,13.97,0.2,34.9927680547,1.74963840288,-798.548616227,-52.7183451005
4,5000_B_NoFHY,97.5,14.32,0.2,34.93717843,1.74685892165,-797.153994432,-52.6323195607
5,5000_C_NoFHY,97.5,14.32,0.2,34.93717843,1.74685892165,-797.153994432,-52.6323195607
6,10000_A,136.0,12.13,0.4,35.3675070283,1.76837535154,-728.606788873,-51.922780761
7,10000_B,117.0,13.07,0.4,35.1544786576,1.75772393301,-723.262374153,-51.5942064182
8,10000_C,130.5,12.38,0.4,35.3057085098,1.76528542561,-727.056399547,-51.8274610269
9,25000_A,246.5,9.01,1.0,36.6322707248,1.83161353633,-522.30731724,-50.4821548713
10,25000_B,216.5,9.61,1.0,36.2844896381,1.814224482,-513.582252346,-49.9591464573
11,25000_C,231.0,9.3,1.0,36.4521696194,1.82260848106,-517.788975409,-50.2112693683
12,50000_A,439.0,6.75,2.0,38.9445727018,1.94722863516,-183.601871115,-50.9433601877
13,50000_B,434.0,6.79,2.0,38.8827052274,1.94413526144,-182.049751837,-50.8589515722
14,50000_C,442.0,6.73,2.0,38.9817404273,1.94908702143,-184.534327851,-50.9940892407
15,75000_A,557.5,5.99,3.0,40.4399944283,2.02199972147,175.597309344,53.5302956935
16,75000_B,549.0,6.04,3.0,40.3308418811,2.01654209412,178.335707416,53.4057478619
17,75000_C,586.5,5.84,3.0,40.8146253463,2.04073126738,166.198641053,53.9596097052
18,100000_A,832.0,4.9,4.0,44.1283715872,2.20641857941,479.780046439,61.0561958741
19,100000_B,813.0,4.96,4.0,43.8625740829,2.1931287042,486.448323015,60.804475263
20,100000_C,808.5,4.97,4.0,43.7998568941,2.18999284476,488.021759763,60.7453345193
