,Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,25000_A,338.8,3.44,1,37.7233210854,1.88616605433,-89.8437279119,-5.28474708145
1,25000_B,329.1,3.49,1,37.6071487555,1.88035743783,-89.5533118981,-5.26833706523
2,25000_C,145.73,4.28,1,35.4770992973,1.77385496493,-84.2284598203,-4.9674591739
3,50000_A,339.5,3.43,2,37.7317185257,1.88658592634,-85.4049551183,-5.243151835
4,50000_B,360.3,3.33,2,37.9820973062,1.89910486536,-86.030870148,-5.27849722726
5,50000_C,366.5,3.3,2,38.0570503757,1.90285251884,-86.2182432656,-5.28907825474
6,75000_A,521.7,2.77,3,39.9822582866,1.99911291438,-86.5712522677,-5.52002855296
7,75000_B,464.8,2.93,3,39.2653768013,1.96326884012,-84.7791399522,-5.41891906347
8,75000_C,507.6,2.81,3,39.8034021427,1.99017010719,-86.124134711,-5.49480194779
9,100000_A,674.9,2.43,4,41.9781531419,2.09890765714,-87.1009696189,-5.7625349327
10,100000_B,632.0,2.52,4,41.4094148111,2.0704707406,-85.6791963021,-5.68240645034
