Radium sorption experiment with ferrihydrite at pH 3 performed 7/16/2015,,,
Sample ID,Scintillation Counts (CPM),% Error,Volume Added
5000_A,104.4,5.05,0.5
5000_B,105.27,5.03,0.5
5000_C,105.6,5.03,0.5
10000_A,160.07,4.08,1
10000_B,156.13,4.13,1
10000_C,152.87,4.18,1
10000_A_NoFHY,158.73,4.1,1
10000_B_NoFHY,158.53,4.1,1
10000_C_NoFHY,160.07,4.08,1
25000_A,308.33,2.94,2.5
25000_B,306.4,2.95,2.5
25000_C,322.93,2.87,2.5
50000_A,542,2.22,5
50000_B,554.67,2.19,5
50000_C,530.53,2.24,5
75000_A,763.33,1.87,7.5
75000_B,739.07,1.9,7.5
75000_C,764.13,1.87,7.5
100000_A,1013.6,1.62,10
100000_B,1097.93,1.56,10
100000_C,1055.87,1.59,10
