"Radium sorption pH sweep experiment with ferrihydrite at 100,000 DPM performed 7/21/2015",,,
Sample ID,Scintillation Counts (CPM),% Error,Volume Added
pH3_A,759.67,1.08,4
pH3_B,737.73,1.1,4
pH3_C,731.93,1.1,4
pH5_A,497.6,1.34,4
pH5_B,499.96,1.33,4
pH5_C,577.09,1.24,4
pH7_A,405.56,1.48,4
pH7_B,424.76,1.45,4
pH7_C,406.56,2.75,4
pH9_A,117.93,2.75,4
pH9_B,117.13,2.78,4
pH9_C,115.22,2.75,4
pH11_A,117.33,2.71,4
pH11_B,120.64,2.71,4
pH11_C,117.42,2.75,4
Filtered_Stock,20507.4,0.21,2
Unfiltered_Stock,25034.82,0.19,2
