pH,Ra,fSorb,k1,totRa,sites
2.0,5.98217567368e-10,-0.0005311379288,7.0,5.979e-10,1.9e-07
2.1,5.98208347252e-10,-0.000515717097281,7.0,5.979e-10,1.9e-07
2.2,5.98196823311e-10,-0.000496443069154,7.0,5.979e-10,1.9e-07
2.3,5.98182524629e-10,-0.000472528230134,7.0,5.979e-10,1.9e-07
2.4,5.981649165e-10,-0.00044307827324,7.0,5.979e-10,1.9e-07
2.5,5.98143403089e-10,-0.000407096652489,7.0,5.979e-10,1.9e-07
2.6,5.98117335512e-10,-0.000363498096486,7.0,5.979e-10,1.9e-07
2.7,5.98086027175e-10,-0.000311134261411,7.0,5.979e-10,1.9e-07
2.8,5.98048778274e-10,-0.000248834711665,7.0,5.979e-10,1.9e-07
2.9,5.98004911133e-10,-0.000175466018985,7.0,5.979e-10,1.9e-07
3.0,5.97953817338e-10,-9.00105999479e-05,7.0,5.979e-10,1.9e-07
3.1,5.97895016301e-10,8.33533938556e-06,7.0,5.979e-10,1.9e-07
3.2,5.97828222741e-10,0.000120048936231,7.0,5.979e-10,1.9e-07
3.3,5.97753417693e-10,0.000245161912174,7.0,5.979e-10,1.9e-07
3.4,5.97670914233e-10,0.000383150638319,7.0,5.979e-10,1.9e-07
3.5,5.97581405902e-10,0.000532855156893,7.0,5.979e-10,1.9e-07
3.6,5.97485983773e-10,0.000692450621841,7.0,5.979e-10,1.9e-07
3.7,5.97386108765e-10,0.000859493619974,7.0,5.979e-10,1.9e-07
3.8,5.97283530043e-10,0.00103105863428,7.0,5.979e-10,1.9e-07
3.9,5.97180148564e-10,0.00120396627476,7.0,5.979e-10,1.9e-07
4.0,5.97077835245e-10,0.00137508739772,7.0,5.979e-10,1.9e-07
4.1,5.96978222721e-10,0.00154169138567,7.0,5.979e-10,1.9e-07
4.2,5.96882494124e-10,0.0017017994252,7.0,5.979e-10,1.9e-07
4.3,5.9679118897e-10,0.00185450916562,7.0,5.979e-10,1.9e-07
4.4,5.96704035882e-10,0.00200027449005,7.0,5.979e-10,1.9e-07
4.5,5.96619809476e-10,0.00214114488082,7.0,5.979e-10,1.9e-07
4.6,5.96536202518e-10,0.00228097923036,7.0,5.979e-10,1.9e-07
4.7,5.96449712655e-10,0.00242563529817,7.0,5.979e-10,1.9e-07
4.8,5.96355567203e-10,0.00258309549593,7.0,5.979e-10,1.9e-07
4.9,5.96247735129e-10,0.0027634468488,7.0,5.979e-10,1.9e-07
5.0,5.9611906672e-10,0.00297864739904,7.0,5.979e-10,1.9e-07
5.1,5.95961527422e-10,0.00324213510288,7.0,5.979e-10,1.9e-07
5.2,5.95766382963e-10,0.00356851820799,7.0,5.979e-10,1.9e-07
5.3,5.95524144925e-10,0.00397366628956,7.0,5.979e-10,1.9e-07
5.4,5.95224152212e-10,0.00447541024917,7.0,5.979e-10,1.9e-07
5.5,5.94772467422e-10,0.00523086231422,7.0,5.979e-10,1.9e-07
5.6,5.92739159179e-10,0.00863161201102,7.0,5.979e-10,1.9e-07
5.7,5.89618109336e-10,0.0138516318184,7.0,5.979e-10,1.9e-07
5.8,5.84895428029e-10,0.0217504130644,7.0,5.979e-10,1.9e-07
5.9,5.77872422843e-10,0.0334965331271,7.0,5.979e-10,1.9e-07
6.0,5.67651413978e-10,0.050591379866,7.0,5.979e-10,1.9e-07
6.1,5.53170536868e-10,0.0748109435219,7.0,5.979e-10,1.9e-07
6.2,5.33325553526e-10,0.108002084754,7.0,5.979e-10,1.9e-07
6.3,5.07207045658e-10,0.151685824288,7.0,5.979e-10,1.9e-07
6.4,4.74433941703e-10,0.206499512121,7.0,5.979e-10,1.9e-07
6.5,4.35478888855e-10,0.271652636135,7.0,5.979e-10,1.9e-07
6.6,3.91808991743e-10,0.34469143378,7.0,5.979e-10,1.9e-07
6.7,3.45698276028e-10,0.421812550546,7.0,5.979e-10,1.9e-07
6.8,2.99737122668e-10,0.49868352121,7.0,5.979e-10,1.9e-07
6.9,2.56253645544e-10,0.571410527607,7.0,5.979e-10,1.9e-07
7.0,2.16901443932e-10,0.637227891065,7.0,5.979e-10,1.9e-07
7.1,1.82534334996e-10,0.694707584886,7.0,5.979e-10,1.9e-07
7.2,1.5331824679e-10,0.743572091002,7.0,5.979e-10,1.9e-07
7.3,1.28951198576e-10,0.784326478381,7.0,5.979e-10,1.9e-07
