pH,Ra(mol/kgw),m_Ra+2(mol/kgw),m_RaCl+(mol/kgw),m_RaCl2(mol/kgw),m_Ra(OH)+(mol/kgw),m_Ra(OH)2(mol/kgw),m_Ra(HCO3)+(mol/kgw),m_Ra(CO3)(mol/kgw),m_FhyOHRa+2(mol/kgw),fSorb,k1,totRa,sites
2.0,5.93710771176e-10,5.90108147423e-10,3.56889152013e-12,3.37297947895e-14,1.38016405199e-21,3.25693002039e-34,2.4370557175e-18,8.31622346763e-25,4.53885999904e-12,0.00700657103873,10.0,5.979e-10,5.98e-05
2.1,5.93493317889e-10,5.90505014209e-10,2.96550718563e-12,2.2793324615e-14,1.79401584705e-21,5.38594934044e-34,3.16781439047e-18,1.37512784237e-24,4.75631319431e-12,0.00737026611711,10.0,5.979e-10,5.98e-05
2.2,5.93255532249e-10,5.90776605408e-10,2.46349488377e-12,1.54278508725e-14,2.32469446017e-21,8.87020923466e-34,4.104853976e-18,2.26456617624e-24,4.99409949287e-12,0.00776796747038,10.0,5.979e-10,5.98e-05
2.3,5.92985016409e-10,5.90927534449e-10,2.04700772634e-12,1.04689262278e-14,3.00359178926e-21,1.4552747448e-33,5.30359936385e-18,3.71511283594e-24,5.2646164304e-12,0.00822041075677,10.0,5.979e-10,5.98e-05
2.4,5.92665567193e-10,5.90956370273e-10,1.70206343623e-12,7.12664589601e-15,3.87027650022e-21,2.37912730729e-33,6.8339099152e-18,6.07329941468e-24,5.58406693055e-12,0.00875469611497,10.0,5.979e-10,5.98e-05
2.5,5.92277238113e-10,5.90855875848e-10,1.41648513063e-12,4.8683464804e-15,4.97458814943e-21,3.8767848662e-33,8.78377487646e-18,9.89604581708e-24,5.97239730022e-12,0.00940418445659,10.0,5.979e-10,5.98e-05
2.6,5.91796827208e-10,5.90613626656e-10,1.17985242308e-12,3.33685897321e-15,6.37924967418e-21,6.29827580848e-33,1.12639227302e-17,1.60766920834e-23,6.45280938142e-12,0.0102076815386,10.0,5.979e-10,5.98e-05
2.7,5.91198404606e-10,5.9021266596e-10,9.83430453772e-13,2.29377045099e-15,8.16310808487e-21,1.02040773416e-32,1.44135376163e-17,2.60456379487e-23,7.05123297815e-12,0.0112085556018,10.0,5.979e-10,5.98e-05
2.8,5.90453261567e-10,5.89631624122e-10,8.20038768786e-13,1.58025812275e-15,1.04251300986e-20,1.64900597126e-32,1.84073053434e-17,4.20891545023e-23,7.79637680226e-12,0.0124548226008,10.0,5.979e-10,5.98e-05
2.9,5.89528816242e-10,5.88843850806e-10,6.83851607073e-13,1.09035155246e-15,1.32892990136e-20,2.65856295646e-32,2.34640453206e-17,6.78549313524e-23,8.72082270257e-12,0.0140009763471,10.0,5.979e-10,5.98e-05
3.0,5.88386362998e-10,5.87815419647e-10,5.70160487017e-13,7.52989530322e-16,1.69105718491e-20,4.27672467357e-32,2.98572060782e-17,1.09151906673e-22,9.86327632647e-12,0.0159117528055,10.0,5.979e-10,5.98e-05
3.1,5.86977717835e-10,5.86502015976e-10,4.75143723469e-13,5.20186864008e-16,2.14820445963e-20,6.8653173167e-32,3.7927480557e-17,1.75212281993e-22,1.12719216946e-11,0.0182677407003,10.0,5.979e-10,5.98e-05
3.2,5.85240671754e-10,5.8484459147e-10,3.95672848578e-13,3.59310208327e-16,2.72434145269e-20,1.09981625437e-31,4.80976906673e-17,2.80676115603e-22,1.30089678348e-11,0.0211729858612,10.0,5.979e-10,5.98e-05
3.3,5.83092861685e-10,5.82763388775e-10,3.29163950849e-13,2.48034678614e-16,3.44906816188e-20,1.7582937278e-31,6.08898272121e-17,4.48698559558e-22,1.51567778425e-11,0.0247652422062,10.0,5.979e-10,5.98e-05
3.4,5.80423348897e-10,5.80149632813e-10,2.73468073992e-13,1.71021825582e-16,4.35867209731e-20,2.80508916518e-31,7.69435776141e-17,7.15786046043e-22,1.78262904782e-11,0.0292300570384,10.0,5.979e-10,5.98e-05
3.5,5.77080900727e-10,5.76853895336e-10,2.26790596775e-13,1.17703818188e-16,5.49717488562e-20,4.46498054521e-31,9.70345896483e-17,1.1392615154e-21,2.11687384308e-11,0.0348203700833,10.0,5.979e-10,5.98e-05
3.6,5.7285771601e-10,5.72669882499e-10,1.87630564069e-13,8.07873942737e-17,6.91715642164e-20,7.08910853822e-31,1.22088693747e-16,1.80865219285e-21,2.53919228925e-11,0.0418837330495,10.0,5.979e-10,5.98e-05
3.7,5.67467200064e-10,5.67312258083e-10,1.54733472113e-13,5.52340597205e-17,8.67993987648e-20,1.12220411594e-30,1.53184675477e-16,2.86276056025e-21,3.0782438568e-11,0.0508994814116,10.0,5.979e-10,5.98e-05
3.8,5.6051464192e-10,5.60387359417e-10,1.27053298195e-13,3.75604008936e-17,1.08543695171e-19,1.76997664804e-30,1.91531974254e-16,4.51458624479e-21,3.77349964501e-11,0.0625277773537,10.0,5.979e-10,5.98e-05
3.9,5.5146088104e-10,5.51356895926e-10,1.0372121601e-13,2.53562076702e-17,1.35128478282e-19,2.77870775263e-30,2.38399701374e-16,7.08622195805e-21,4.67887570993e-11,0.0776703779226,10.0,5.979e-10,5.98e-05
4.0,5.39582488798e-10,5.39498157128e-10,8.40195806962e-14,1.69520506884e-17,1.6722479732e-19,4.33573349087e-30,2.94958956213e-16,1.10544208297e-20,5.8667149163e-11,0.0975372323168,10.0,5.979e-10,5.98e-05
4.1,5.23939701553e-10,5.23871967575e-10,6.7360581733e-14,1.11899382325e-17,2.05282212563e-19,6.70994052809e-30,3.61983773025e-16,1.71028507954e-20,7.4309936304e-11,0.123700114479,10.0,5.979e-10,5.98e-05
4.2,5.03377908048e-10,5.03324191708e-10,5.32694518469e-14,7.26522380467e-18,2.49244509832e-19,1.02693686192e-29,4.39347890715e-16,2.61660623873e-20,9.48717298037e-11,0.158090135394,10.0,5.979e-10,5.98e-05
4.3,4.76610444065e-10,4.76568541819e-10,4.1372006534e-14,4.61770771285e-18,2.98130237092e-19,1.54819379185e-29,5.25284103316e-16,3.94298329339e-20,1.2163919391e-10,0.202859267328,10.0,5.979e-10,5.98e-05
4.4,4.42450663797e-10,4.42418659982e-10,3.13850562747e-14,2.85653666436e-18,3.49527359758e-19,2.28747487292e-29,6.15495046442e-16,5.82251819534e-20,1.55798974463e-10,0.259992199703,10.0,5.979e-10,5.98e-05
4.5,4.00248236536e-10,4.00224426262e-10,2.31056099758e-14,1.7081672908e-18,3.99203169901e-19,3.29217935743e-29,7.02472775964e-16,8.37394183699e-20,1.98001402223e-10,0.330576623957,10.0,5.979e-10,5.98e-05
4.6,3.50483390727e-10,3.50466221428e-10,1.63920257283e-14,9.800904429e-19,4.4122975722e-19,4.58490655477e-29,7.75734737907e-16,1.1651711066e-19,2.47766248808e-10,0.413809348174,10.0,5.979e-10,5.98e-05
4.7,2.95262187517e-10,2.95250231129e-10,1.11314809766e-14,5.3564974263e-19,4.69063599394e-19,6.14099109101e-29,8.23746536979e-16,1.558873868e-19,3.02987453154e-10,0.506167941936,10.0,5.979e-10,5.98e-05
4.8,2.3827762815e-10,2.38269591753e-10,7.19793981428e-15,2.77137911346e-19,4.77568728668e-19,7.87682651396e-29,8.37502706187e-16,1.99669692846e-19,3.59972014122e-10,0.601475784997,10.0,5.979e-10,5.98e-05
4.9,1.83966032635e-10,1.83960798377e-10,4.41925070307e-15,1.35133356945e-19,4.65081412927e-19,9.66325082593e-29,8.14162238864e-16,2.44520722214e-19,4.14283611826e-10,0.692313041253,10.0,5.979e-10,5.98e-05
5.0,1.36173440119e-10,1.36170106541e-10,2.57446781979e-15,6.18843512682e-20,4.34150070635e-19,1.13628077652e-28,7.58327458576e-16,2.86888367694e-19,4.62076207256e-10,0.772247131428,10.0,5.979e-10,5.98e-05
5.1,9.71123093253e-11,9.71102055254e-11,1.42306100524e-15,2.64860400158e-20,3.90393209038e-19,1.28698801677e-28,6.79997957386e-16,3.24033695903e-19,5.01137341848e-10,0.83757767298,10.0,5.979e-10,5.98e-05
5.2,6.71523592909e-11,6.71510233341e-11,7.44525542603e-16,1.04745246981e-20,3.40330387682e-19,1.41311198071e-28,5.90725896076e-16,3.54545625498e-19,5.3109729675e-10,0.887686303243,10.0,5.979e-10,5.98e-05
5.3,4.5323049073e-11,4.53221831992e-11,3.648374261e-16,3.72348990702e-21,2.89539108399e-19,1.51413946814e-28,5.00364881665e-16,3.78229764766e-19,5.52926613133e-10,0.92419627183,10.0,5.979e-10,5.98e-05
5.4,3.00341858509e-11,3.00336072827e-11,1.62317306035e-16,1.11136470638e-21,2.41821897344e-19,1.59264212003e-28,4.15612295949e-16,3.95659105361e-19,5.68215484098e-10,0.949767208813,10.0,5.979e-10,5.98e-05
5.5,1.96358925912e-11,1.96354924224e-11,5.94845563617e-17,2.28143156132e-22,1.99237202448e-19,1.6524938865e-28,3.40077115442e-16,4.07715304566e-19,5.78613786955e-10,0.967158567334,10.0,5.979e-10,5.98e-05
5.6,1.27127117292e-11,1.27124257347e-11,1.03557167776e-17,1.06735732105e-23,1.62536674377e-19,1.6976659723e-28,2.75060963236e-16,4.15279021634e-19,5.85536979892e-10,0.97873772917,10.0,5.979e-10,5.98e-05
5.7,8.11878996345e-12,8.11857071313e-12,5.69827371371e-26,5.06168302359e-40,1.30628384588e-19,1.71744739782e-28,2.18704055039e-16,4.15635735871e-19,5.90130916499e-10,0.986421157445,10.0,5.979e-10,5.98e-05
5.8,5.14947587099e-12,5.14930324573e-12,1.29479274105e-26,0.0,1.04180941463e-19,1.72369899213e-28,1.72109471515e-16,4.11612069346e-19,5.93100248944e-10,0.991387396101,10.0,5.979e-10,5.98e-05
5.9,3.26201552621e-12,3.2618802144e-12,4.69608221447e-27,0.0,8.29752654239e-20,1.72756896026e-28,1.34823077062e-16,4.05752481642e-19,5.94987731666e-10,0.994544212199,10.0,5.979e-10,5.98e-05
6.0,2.06510339256e-12,2.06499780236e-12,1.97854569265e-27,0.0,6.60387953626e-20,1.73015693229e-28,1.05126043886e-16,3.98113512486e-19,5.96184670978e-10,0.996546072265,10.0,5.979e-10,5.98e-05
6.1,1.30709558681e-12,1.30701358811e-12,8.97983883682e-28,0.0,5.25432008459e-20,1.73216188232e-28,8.15575145028e-17,3.88638854838e-19,5.96942711496e-10,0.997813855851,10.0,5.979e-10,5.98e-05
6.2,8.27357586248e-13,8.27294255697e-13,4.26435294903e-28,0.0,4.18034807914e-20,1.73402904531e-28,6.29115359644e-17,3.77211170572e-19,5.9742248846e-10,0.998616227486,10.0,5.979e-10,5.98e-05
6.3,5.23802464246e-13,5.23753858446e-13,2.08999699964e-28,0.0,3.3262716706e-20,1.73604488191e-28,4.82088392345e-17,3.63697486464e-19,5.9772608942e-10,0.999123929647,10.0,5.979e-10,5.98e-05
6.4,3.31718831103e-13,3.31681795362e-13,1.04969346416e-28,0.0,2.64726361493e-20,1.73839608206e-28,3.66612757293e-17,3.47992255477e-19,5.97918230779e-10,0.999445193459,10.0,5.979e-10,5.98e-05
6.5,2.10146089136e-13,2.10118101056e-13,5.38199361441e-29,0.0,2.10745575301e-20,1.74120446169e-28,2.76369458101e-17,3.30059238158e-19,5.98039862219e-10,0.99964852636,10.0,5.979e-10,5.98e-05
6.6,1.33176195059e-13,1.33155239067e-13,2.81119382269e-29,0.0,1.67825045976e-20,1.74454641507e-28,2.06292399839e-17,3.0996996144e-19,5.98116898807e-10,0.999777260085,10.0,5.979e-10,5.98e-05
6.7,8.44266454096e-14,8.44111133284e-14,1.49425290172e-29,0.0,1.33689568569e-20,1.74846256118e-28,1.52307791418e-17,2.87933144006e-19,5.98165721907e-10,0.999858794706,10.0,5.979e-10,5.98e-05
6.8,5.35381894175e-14,5.35268021517e-14,8.07738464267e-30,0.0,1.06531405911e-20,1.75296224089e-28,1.11123049747e-17,2.64307739711e-19,5.98196689304e-10,0.999910456281,10.0,5.979e-10,5.98e-05
6.9,3.39589799374e-14,3.39507256866e-14,4.43847457538e-30,0.0,8.4915449316e-21,1.75802605275e-28,8.00616624541e-18,2.39593003389e-19,5.98216351002e-10,0.99994320291,10.0,5.979e-10,5.98e-05
7.0,2.15438045269e-14,2.15378895173e-14,2.47801329092e-30,0.0,6.77030145625e-21,1.76360883541e-28,5.69384607561e-18,2.14393208493e-19,5.98228850091e-10,0.999963967546,10.0,5.979e-10,5.98e-05
7.1,1.36689208807e-14,1.36647293021e-14,1.40477072158e-30,0.0,5.39908734064e-21,1.76964448309e-28,3.9968182225e-18,1.8936129728e-19,5.98236808082e-10,0.99997713845,10.0,5.979e-10,5.98e-05
7.2,8.67276841064e-15,8.66982906604e-15,8.07930657842e-31,0.0,4.30625937846e-21,1.77605290683e-28,2.76990605481e-18,1.65132291589e-19,5.98241884417e-10,0.999985494617,10.0,5.979e-10,5.98e-05
7.3,5.50254857172e-15,5.50050657512e-15,4.70926892681e-31,0.0,3.43497759096e-21,1.78274849951e-28,1.89630097063e-18,1.42260650964e-19,5.98245130093e-10,0.999990796875,10.0,5.979e-10,5.98e-05
7.4,3.49083419157e-15,3.48942676179e-15,2.77851661359e-31,0.0,2.74012338138e-21,1.78964888047e-28,1.28351542605e-18,1.21174225031e-19,5.98247211193e-10,0.999994161508,10.0,5.979e-10,5.98e-05
7.5,2.21430539607e-15,2.21334128394e-15,1.65719512638e-31,0.0,2.18585517906e-21,1.79668262465e-28,8.59774466475e-19,1.02151806667e-19,5.98248550213e-10,0.999996296529,10.0,5.979e-10,5.98e-05
7.6,1.40436606825e-15,1.40370839044e-15,9.97785923051e-32,0.0,1.74367449932e-21,1.80379504833e-28,5.70609856482e-19,8.53242819754e-20,5.98249415431e-10,0.999997651169,10.0,5.979e-10,5.98e-05
7.7,8.90547285001e-16,8.90099571413e-16,6.05638702943e-32,0.0,1.39089909321e-21,1.81095164855e-28,3.75628811624e-19,7.06938764907e-20,5.98249977385e-10,0.999998510541,10.0,5.979e-10,5.98e-05
7.8,5.64642391628e-16,5.64337578056e-16,3.70117577722e-32,0.0,1.10945845864e-21,1.8181397167e-28,2.45540533463e-19,5.81635798624e-20,5.98250345138e-10,0.999999055624,10.0,5.979e-10,5.98e-05
7.9,3.57966363867e-16,3.57758366179e-16,2.27454446573e-32,0.0,8.8494470726e-22,1.82536786011e-28,1.59543591654e-19,4.75691511633e-20,5.98250587034e-10,0.999999401294,10.0,5.979e-10,5.98e-05
8.0,2.26924174085e-16,2.26781619125e-16,1.40411993432e-32,0.0,7.05862680509e-22,1.8326652012e-28,1.03140725163e-19,3.8708372255e-20,5.98250748432e-10,0.999999620465,10.0,5.979e-10,5.98e-05
8.1,1.43850443716e-16,1.43752122237e-16,8.69848612373e-33,0.0,5.63037129862e-22,1.84008008001e-28,6.63938622648e-20,3.1364579861e-20,5.98250857535e-10,0.999999759407,10.0,5.979e-10,5.98e-05
8.2,9.11926316112e-17,9.11242722209e-17,5.40296255856e-33,0.0,4.49142731378e-22,1.84767912685e-28,4.25865716632e-20,2.53236756646e-20,5.98250932761e-10,0.999999847478,10.0,5.979e-10,5.98e-05
8.3,5.78171388207e-17,5.77691612495e-17,3.3622194678e-33,0.0,3.58330645715e-22,1.85554705064e-28,2.72341199232e-20,2.03851204108e-20,5.98250986099e-10,0.9999999033,10.0,5.979e-10,5.98e-05
8.4,3.66636928551e-17,3.66296668371e-17,2.09465576446e-33,0.0,2.85931171226e-22,1.86378745556e-28,1.73720246227e-20,1.63680620598e-20,5.98251025442e-10,0.999999938679,10.0,5.979e-10,5.98e-05
8.5,2.32561546796e-17,2.32317555118e-17,1.30556729748e-33,0.0,2.28216586099e-22,1.87252495163e-28,1.10570533409e-20,1.31138975998e-20,5.98251056081e-10,0.999999961104,10.0,5.979e-10,5.98e-05
8.5999999996,1.47572997375e-17,1.47396069292e-17,8.13589625313e-34,0.0,1.82211763907e-22,1.88190882678e-28,7.02415380155e-21,1.04864425919e-20,5.98251081919e-10,0.999999975318,10.0,5.979e-10,5.98e-05
8.7,9.36905191614e-18,9.35608132856e-18,5.06587691e-34,0.0,1.45542819488e-22,1.89211861287e-28,4.4544005152e-21,8.37064405162e-21,5.98251104869e-10,0.99999998433,10.0,5.979e-10,5.98e-05
8.8,5.95203824672e-18,5.94243131703e-18,3.14969081782e-34,0.0,1.16316096272e-22,1.90337189314e-28,2.82009473089e-21,6.67051866961e-21,5.9825112771e-10,0.999999990045,10.0,5.979e-10,5.98e-05
8.9,3.78433907625e-18,3.77715681171e-18,1.95415598463e-34,0.0,9.30214009998e-23,1.91593491883e-28,1.78246473321e-21,5.30677822026e-21,5.9825115193e-10,0.999999993671,10.0,5.979e-10,5.98e-05
9.0,2.40855016532e-18,2.40313659352e-18,1.20902193767e-34,0.0,7.44546322399e-23,1.93013654806e-28,1.12468431987e-21,4.21443264785e-21,5.9825117915e-10,0.999999995972,10.0,5.979e-10,5.98e-05
9.1,1.53485394712e-18,1.530745434e-18,7.45406304334e-35,0.0,5.96559306305e-23,1.9463862373e-28,7.08318863469e-22,3.34053813531e-21,5.98251211028e-10,0.999999997433,10.0,5.979e-10,5.98e-05
9.2,9.79601375314e-19,9.76466178752e-19,4.57655973524e-35,0.0,4.78602533396e-23,1.96519683392e-28,4.45161987373e-22,2.6421741246e-21,5.98251249402e-10,0.999999998362,10.0,5.979e-10,5.98e-05
9.3,6.26401297005e-19,6.2399905348e-19,2.79636192601e-35,0.0,3.84578937323e-23,1.98721301516e-28,2.79105314655e-22,2.08468011785e-21,5.98251296411e-10,0.999999998952,10.0,5.979e-10,5.98e-05
9.4,4.01472053122e-19,3.99626429989e-19,1.69947912685e-35,0.0,3.09629614284e-23,2.01324634843e-28,1.7450866045e-22,1.640151309e-21,5.98251354624e-10,0.999999999329,10.0,5.979e-10,5.98e-05
9.5,2.58028666743e-19,2.56608742333e-19,1.02691053009e-35,0.0,2.49882338361e-23,2.04431825191e-28,1.08761295065e-22,1.28617467649e-21,5.98251427218e-10,0.999999999568,10.0,5.979e-10,5.98e-05
9.6,1.66393457699e-19,1.65300918599e-19,6.16830470582e-36,0.0,2.02251074349e-23,2.08171283911e-28,6.75348191833e-23,1.00477896554e-21,5.98251518104e-10,0.999999999722,10.0,5.979e-10,5.98e-05
9.7,1.07731660446e-19,1.06891903865e-19,3.68351045765e-36,0.0,1.64276305377e-23,2.12704307384e-28,4.17592981879e-23,7.81569439627e-22,5.982516322e-10,0.99999999982,10.0,5.979e-10,5.98e-05
9.8,7.00828577694e-20,6.94387387084e-20,2.18782468395e-36,0.0,1.33998013503e-23,2.18233634214e-28,2.56999610614e-23,6.0501908029e-22,5.98251775673e-10,0.999999999883,10.0,5.979e-10,5.98e-05
9.9,4.5846423347e-20,4.53538116483e-20,1.29348875035e-36,0.0,1.09854753895e-23,2.25015002543e-28,1.57353977999e-23,4.6589060051e-22,5.98251956285e-10,0.999999999923,10.0,5.979e-10,5.98e-05
10.0,3.01878944217e-20,2.98124843121e-20,7.62084950045e-37,0.0,9.06035345469e-24,2.33373459983e-28,9.58218956204e-24,3.56767333139e-22,5.98252183822e-10,0.99999999995,10.0,5.979e-10,5.98e-05
2.0,5.94638651895e-10,5.91030397782e-10,3.57446916146e-12,3.37825093943e-14,1.38232104096e-21,3.26202011247e-34,2.44086446877e-18,8.32922047311e-25,3.61097928018e-12,0.00545467152459,9.9,5.979e-10,5.98e-05
2.1,5.94465369293e-10,5.91472171228e-10,2.97036423365e-12,2.2830656603e-14,1.79695417092e-21,5.39477070254e-34,3.17300278578e-18,1.37738009137e-24,3.78426179092e-12,0.00574449022809,9.9,5.979e-10,5.98e-05
2.2,5.9427585484e-10,5.91792664565e-10,2.46773177578e-12,1.54543847789e-14,2.32869263311e-21,8.88546484386e-34,4.11191379151e-18,2.2684609358e-24,3.97377690309e-12,0.00606145703315,9.9,5.979e-10,5.98e-05
2.3,5.94060216838e-10,5.91999004253e-10,2.05071936102e-12,1.04879084879e-14,3.00903790172e-21,1.45791344886e-33,5.31321584876e-18,3.72184907745e-24,4.18941600114e-12,0.00642211600865,9.9,5.979e-10,5.98e-05
2.4,5.93805520517e-10,5.92093036068e-10,1.70533724387e-12,7.14035353467e-15,3.87772072282e-21,2.38370340233e-33,6.8470544905e-18,6.08498100569e-24,4.44411360754e-12,0.00684810082511,9.9,5.979e-10,5.98e-05
2.5,5.93495830847e-10,5.9207154417e-10,1.41939950687e-12,4.87836296076e-15,4.98482321562e-21,3.8847612349e-33,8.8018472284e-18,9.91640663268e-24,4.75380456769e-12,0.00736606314252,9.9,5.979e-10,5.98e-05
2.6,5.93112591812e-10,5.91926760604e-10,1.18247563471e-12,3.34427794259e-15,6.39343290425e-21,6.31227900605e-33,1.12889662384e-17,1.61124360045e-23,5.13704477902e-12,0.0080070382801,9.9,5.979e-10,5.98e-05
2.7,5.92635033515e-10,5.91646899496e-10,9.85820218231e-13,2.29934438099e-15,8.1829446683e-21,1.02288735376e-32,1.44485629171e-17,2.61089295785e-23,5.61460407139e-12,0.00880576431607,9.9,5.979e-10,5.98e-05
2.8,5.92040112626e-10,5.91216267019e-10,8.22242634619e-13,1.5845050903e-15,1.04531477739e-20,1.65343769658e-32,1.84567752165e-17,4.22022696517e-23,6.20952574787e-12,0.00980078169268,9.9,5.979e-10,5.98e-05
2.9,5.91301612102e-10,5.90614586878e-10,6.85908045585e-13,1.0936303952e-15,1.33292617976e-20,2.66655762757e-32,2.35346049871e-17,6.80589806184e-23,6.94802684913e-12,0.0110359389496,9.9,5.979e-10,5.98e-05
3.0,5.90388303417e-10,5.89815417473e-10,5.72100416227e-13,7.55551523334e-16,1.69681087958e-20,4.29127590671e-32,2.99587929659e-17,1.09523287779e-22,7.86133591625e-12,0.0125634664378,9.9,5.979e-10,5.98e-05
3.1,5.89261202008e-10,5.88783649553e-10,4.76992147759e-13,5.22210518454e-16,2.15656148975e-20,6.89202504547e-32,3.80750275367e-17,1.75893899699e-22,8.98843753418e-12,0.0144485666372,9.9,5.979e-10,5.98e-05
3.2,5.8786982678e-10,5.8747196713e-10,3.97450384169e-13,3.60924388469e-16,2.7365803754e-20,1.10475710556e-31,4.83137663319e-17,2.81937034276e-22,1.0379812824e-11,0.0167756702129,9.9,5.979e-10,5.98e-05
3.3,5.86147119477e-10,5.85815920776e-10,3.30888123279e-13,2.49333894525e-16,3.46713448181e-20,1.76750372145e-31,6.12087698949e-17,4.51048855557e-22,1.21025200693e-11,0.0196569334715,9.9,5.979e-10,5.98e-05
3.4,5.84002398856e-10,5.83726994962e-10,2.75154355638e-13,1.72076396157e-16,4.38554886467e-20,2.82238611348e-31,7.74180327958e-17,7.20199778748e-22,1.42472405423e-11,0.0232440226519,9.9,5.979e-10,5.98e-05
3.5,5.81311442342e-10,5.81082772786e-10,2.28453186438e-13,1.18566700138e-16,5.53747430279e-20,4.49771301404e-31,9.77459436389e-17,1.14761336387e-21,1.69381968451e-11,0.0277447025558,9.9,5.979e-10,5.98e-05
3.6,5.7790249618e-10,5.77713008539e-10,1.8928290643e-13,8.1498838847e-17,6.97807124788e-20,7.15153762997e-31,1.23163848178e-16,1.82457979648e-21,2.03471427573e-11,0.033446234855,9.9,5.979e-10,5.98e-05
3.7,5.73536747409e-10,5.73380148187e-10,1.56388483754e-13,5.58248387076e-17,8.77277924587e-20,1.13420704661e-30,1.54823116363e-16,2.89338022679e-21,2.47128912656e-11,0.0407480391219,9.9,5.979e-10,5.98e-05
3.8,5.67881700928e-10,5.67752745495e-10,1.28723214536e-13,3.80540753204e-17,1.0997032633e-19,1.79324012431e-30,1.94049351956e-16,4.57392316786e-21,3.03679374939e-11,0.0502062202242,9.9,5.979e-10,5.98e-05
3.9,5.60476399342e-10,5.60370714227e-10,1.05416902677e-13,2.57707457053e-17,1.37337615954e-19,2.8241352422e-30,2.42297160747e-16,7.2020705101e-21,3.77732388595e-11,0.0625917388493,9.9,5.979e-10,5.98e-05
4.0,5.50689403302e-10,5.50603335716e-10,8.5749073063e-14,1.73010005331e-17,1.70666997762e-19,4.42498139422e-30,3.01030471052e-16,1.12819679964e-20,4.75602347334e-11,0.0789606902455,9.9,5.979e-10,5.98e-05
4.1,5.37675654763e-10,5.37606145012e-10,6.91265648628e-14,1.14833055399e-17,2.10664026746e-19,6.88585274893e-30,3.7147377882e-16,1.75512303939e-20,6.05739831841e-11,0.100726451309,9.9,5.979e-10,5.98e-05
4.2,5.20349527468e-10,5.2029400004e-10,5.50654727957e-14,7.51017879386e-18,2.57647901517e-19,1.06156050059e-29,4.54160703999e-16,2.70482629557e-20,7.79001104906e-11,0.129704754192,9.9,5.979e-10,5.98e-05
4.3,4.97411248649e-10,4.97367517634e-10,4.31776340023e-14,4.81924392387e-18,3.11141590306e-19,1.61576189343e-29,5.48209174707e-16,4.11506762526e-20,1.00838389451e-10,0.168069495486,9.9,5.979e-10,5.98e-05
4.4,4.67490289363e-10,4.67456474329e-10,3.31612566194e-14,3.01820128901e-18,3.6930816689e-19,2.41692995824e-29,6.50327766717e-16,6.15203201665e-20,1.30759349042e-10,0.218112912924,9.9,5.979e-10,5.98e-05
4.5,4.29483355451e-10,4.29457805988e-10,2.47933286799e-14,1.83294020453e-18,4.28361944257e-19,3.53264814869e-29,7.53783102725e-16,8.98559492324e-20,1.68766283468e-10,0.281680288591,9.9,5.979e-10,5.98e-05
4.6,3.83116866716e-10,3.83098098757e-10,1.79183148015e-14,1.07135007218e-18,4.82312604264e-19,5.01180657498e-29,8.47963301292e-16,1.27366002814e-19,2.15132772986e-10,0.359229190975,9.9,5.979e-10,5.98e-05
4.7,3.29593726529e-10,3.29580379887e-10,1.24258185918e-14,5.97934935039e-19,5.23603836237e-19,6.85503300362e-29,9.19527431427e-16,1.74013146287e-19,2.68655914308e-10,0.448747739541,9.9,5.979e-10,5.98e-05
4.8,2.71929985238e-10,2.71920813824e-10,8.21454007765e-15,3.16280345313e-19,5.4501655527e-19,8.98928371501e-29,9.55784607352e-16,2.27869372844e-19,3.26319657186e-10,0.545191528286,9.9,5.979e-10,5.98e-05
4.9,2.14518995198e-10,2.14512891621e-10,5.15321396889e-15,1.57577257401e-19,5.42321817886e-19,1.12681167998e-28,9.49377749817e-16,2.85130553536e-19,3.83730649391e-10,0.641212585385,9.9,5.979e-10,5.98e-05
5.0,1.61890768085e-10,1.61886804926e-10,3.06068548635e-15,7.35721847193e-20,5.16142395785e-19,1.35087545585e-28,9.01542986154e-16,3.41069269459e-19,4.3635887939e-10,0.729234373499,9.9,5.979e-10,5.98e-05
