pH,Ra,fSorb,k2,k1,totRa,sites
2.0,5.97886867781e-10,2.19639053353e-05,-5.67,3.0,5.979e-10,0.007
2.1,5.97882863881e-10,2.86605101188e-05,-5.67,3.0,5.979e-10,0.007
2.2,5.9787774102e-10,3.72286001003e-05,-5.67,3.0,5.979e-10,0.007
2.3,5.97871206831e-10,4.81571650778e-05,-5.67,3.0,5.979e-10,0.007
2.4,5.9786289617e-10,6.20569158723e-05,-5.67,3.0,5.979e-10,0.007
2.5,5.9785235075e-10,7.96943468807e-05,-5.67,3.0,5.979e-10,0.007
2.6,5.97838995721e-10,0.000102030906506,-5.67,3.0,5.979e-10,0.007
2.7,5.97822109083e-10,0.000130274154541,-5.67,3.0,5.979e-10,0.007
2.8,5.97800783267e-10,0.000165942018732,-5.67,3.0,5.979e-10,0.007
2.9,5.97773876782e-10,0.000210943666165,-5.67,3.0,5.979e-10,0.007
3.0,5.97739953412e-10,0.000267681197525,-5.67,3.0,5.979e-10,0.007
3.1,5.97697205856e-10,0.000339177360763,-5.67,3.0,5.979e-10,0.007
3.2,5.97643359859e-10,0.000429235893962,-5.67,3.0,5.979e-10,0.007
3.3,5.97575553916e-10,0.000542642722863,-5.67,3.0,5.979e-10,0.007
3.4,5.9749018837e-10,0.00068541834755,-5.67,3.0,5.979e-10,0.007
3.5,5.97382736264e-10,0.000865134196354,-5.67,3.0,5.979e-10,0.007
3.6,5.97247506427e-10,0.00109130886938,-5.67,3.0,5.979e-10,0.007
3.7,5.97077347103e-10,0.00137590382505,-5.67,3.0,5.979e-10,0.007
3.8,5.9686327578e-10,0.00173394249875,-5.67,3.0,5.979e-10,0.007
3.9,5.96594017793e-10,0.00218428199866,-5.67,3.0,5.979e-10,0.007
4.0,5.96255432719e-10,0.00275057247199,-5.67,3.0,5.979e-10,0.007
4.1,5.95829803691e-10,0.00346244574176,-5.67,3.0,5.979e-10,0.007
4.2,5.95294960657e-10,0.00435698167419,-5.67,3.0,5.979e-10,0.007
4.3,5.94623204813e-10,0.00548050708647,-5.67,3.0,5.979e-10,0.007
4.4,5.93779998592e-10,0.00689078676702,-5.67,3.0,5.979e-10,0.007
4.5,5.9272238513e-10,0.008659666951,-5.67,3.0,5.979e-10,0.007
4.6,5.91397104981e-10,0.010876225153,-5.67,3.0,5.979e-10,0.007
4.7,5.89738389458e-10,0.0136504608496,-5.67,3.0,5.979e-10,0.007
4.8,5.87665434169e-10,0.017117521042,-5.67,3.0,5.979e-10,0.007
4.9,5.85079600017e-10,0.0214423816407,-5.67,3.0,5.979e-10,0.007
5.0,5.81861461753e-10,0.0268247838217,-5.67,3.0,5.979e-10,0.007
5.1,5.77867933641e-10,0.0335040414099,-5.67,3.0,5.979e-10,0.007
5.2,5.72929895871e-10,0.0417630107526,-5.67,3.0,5.979e-10,0.007
5.3,5.66850890589e-10,0.0519302716357,-5.67,3.0,5.979e-10,0.007
5.4,5.5940788307e-10,0.0643788542064,-5.67,3.0,5.979e-10,0.007
5.5,5.50355262828e-10,0.0795195470346,-5.67,3.0,5.979e-10,0.007
5.6,5.3943361657e-10,0.0977862241679,-5.67,3.0,5.979e-10,0.007
5.7,5.26384860118e-10,0.119610536682,-5.67,3.0,5.979e-10,0.007
5.8,5.10974987117e-10,0.145383864999,-5.67,3.0,5.979e-10,0.007
5.9,4.93024666774e-10,0.175406143546,-5.67,3.0,5.979e-10,0.007
6.0,4.72445989211e-10,0.209824403394,-5.67,3.0,5.979e-10,0.007
6.1,4.49280873185e-10,0.248568534563,-5.67,3.0,5.979e-10,0.007
6.2,4.23733609322e-10,0.291296856795,-5.67,3.0,5.979e-10,0.007
6.3,3.96187965988e-10,0.337367509637,-5.67,3.0,5.979e-10,0.007
6.4,3.67199851897e-10,0.385850724374,-5.67,3.0,5.979e-10,0.007
6.5,3.37460824243e-10,0.435589857429,-5.67,3.0,5.979e-10,0.007
6.6,3.07735260497e-10,0.485306471823,-5.67,3.0,5.979e-10,0.007
6.7,2.78782217436e-10,0.533731029543,-5.67,3.0,5.979e-10,0.007
6.8,2.51278238816e-10,0.579731997297,-5.67,3.0,5.979e-10,0.007
6.9,2.25757037599e-10,0.622416729221,-5.67,3.0,5.979e-10,0.007
7.0,2.02576237794e-10,0.661187091831,-5.67,3.0,5.979e-10,0.007
7.1,1.81913040111e-10,0.695746713312,-5.67,3.0,5.979e-10,0.007
7.2,1.63783392142e-10,0.726068920987,-5.67,3.0,5.979e-10,0.007
7.3,1.48075349128e-10,0.75234094476,-5.67,3.0,5.979e-10,0.007
7.4,1.34587076287e-10,0.774900357439,-5.67,3.0,5.979e-10,0.007
7.5,1.23062125267e-10,0.794176074148,-5.67,3.0,5.979e-10,0.007
7.6,1.13217544873e-10,0.810641336556,-5.67,3.0,5.979e-10,0.007
7.7,1.04762682168e-10,0.824782267657,-5.67,3.0,5.979e-10,0.007
7.8,9.74069865812e-11,0.837084819232,-5.67,3.0,5.979e-10,0.007
7.9,9.08506111475e-11,0.848050491474,-5.67,3.0,5.979e-10,0.007
8.0,8.47204960497e-11,0.858303234572,-5.67,3.0,5.979e-10,0.007
8.1,7.78317361299e-11,0.869824826677,-5.67,3.0,5.979e-10,0.007
8.2,7.74037674752e-11,0.87054061302,-5.67,3.0,5.979e-10,0.007
8.3,7.60533096681e-11,0.872799281371,-5.67,3.0,5.979e-10,0.007
8.4,7.44373234747e-11,0.875502051389,-5.67,3.0,5.979e-10,0.007
8.5,7.27331349635e-11,0.87835234159,-5.67,3.0,5.979e-10,0.007
8.6,7.10028439972e-11,0.881246288682,-5.67,3.0,5.979e-10,0.007
8.7,6.92832981689e-11,0.88412226431,-5.67,3.0,5.979e-10,0.007
8.8,6.760596766e-11,0.886927633952,-5.67,3.0,5.979e-10,0.007
8.9,6.60008466642e-11,0.889612231704,-5.67,3.0,5.979e-10,0.007
9.0,6.44953278849e-11,0.892130242708,-5.67,3.0,5.979e-10,0.007
9.1,6.31118295206e-11,0.894444172068,-5.67,3.0,5.979e-10,0.007
9.2,6.18658812473e-11,0.896528046082,-5.67,3.0,5.979e-10,0.007
9.3,6.07653595199e-11,0.898368691219,-5.67,3.0,5.979e-10,0.007
9.4,5.9810914801e-11,0.899965019567,-5.67,3.0,5.979e-10,0.007
9.5,5.89972647539e-11,0.901325865941,-5.67,3.0,5.979e-10,0.007
9.6,5.83149071336e-11,0.902467123041,-5.67,3.0,5.979e-10,0.007
9.7,5.77518607954e-11,0.903408829578,-5.67,3.0,5.979e-10,0.007
9.8,5.72951792589e-11,0.904172638804,-5.67,3.0,5.979e-10,0.007
9.9,5.69321229292e-11,0.904779857954,-5.67,3.0,5.979e-10,0.007
10.0,5.66509826488e-11,0.905250070833,-5.67,3.0,5.979e-10,0.007
2.0,5.97887758922e-10,2.04734537548e-05,-5.67,3.0,5.979e-10,0.0065
2.1,5.97884019801e-10,2.67272102359e-05,-5.67,3.0,5.979e-10,0.0065
2.2,5.97879233339e-10,3.47326659975e-05,-5.67,3.0,5.979e-10,0.0065
2.3,5.9787312554e-10,4.49480849639e-05,-5.67,3.0,5.979e-10,0.0065
2.4,5.97865353792e-10,5.79464927244e-05,-5.67,3.0,5.979e-10,0.0065
2.5,5.97855488449e-10,7.44464810169e-05,-5.67,3.0,5.979e-10,0.0065
2.6,5.97842990609e-10,9.53493744773e-05,-5.67,3.0,5.979e-10,0.0065
2.7,5.97827183544e-10,0.000121787014551,-5.67,3.0,5.979e-10,0.0065
2.8,5.97807216737e-10,0.000155181908346,-5.67,3.0,5.979e-10,0.0065
2.9,5.97782020578e-10,0.000197323000502,-5.67,3.0,5.979e-10,0.0065
3.0,5.9775024939e-10,0.000250460963372,-5.67,3.0,5.979e-10,0.0065
