pH,Ra,fSorb,ks,siteW,totRa,kw,siteS
2.0,5.98249618858e-10,-0.000584744703357,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
2.1,5.98249618172e-10,-0.000584743556406,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
2.2,5.98249618182e-10,-0.000584743573034,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
2.3,5.9824961854e-10,-0.000584744170859,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
2.4,5.98249618952e-10,-0.000584744859542,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
2.5,5.98249619181e-10,-0.000584745242648,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
2.6,5.98249619043e-10,-0.000584745012548,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
2.7,5.98249618399e-10,-0.000584743935909,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
2.8,5.98249617141e-10,-0.000584741831266,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
2.9,5.98249615174e-10,-0.000584738540774,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
3.0,5.98249612399e-10,-0.000584733900484,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
3.1,5.98249608699e-10,-0.000584727711298,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
3.2,5.98249603913e-10,-0.000584719707833,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
3.3,5.98249597822e-10,-0.000584709520538,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
3.4,5.98249590112e-10,-0.000584696624888,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
3.5,5.98249580333e-10,-0.000584680268874,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
3.6,5.98249567835e-10,-0.0005846593664,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
3.7,5.98249551675e-10,-0.000584632337811,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
3.8,5.98249530468e-10,-0.000584596868629,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
3.9,5.98249502171e-10,-0.000584549541535,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
4.0,5.98249463744e-10,-0.000584485271095,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
