pH,Ra(mol/kgw),m_Ra+2(mol/kgw),m_RaCl+(mol/kgw),m_RaCl2(mol/kgw),m_Ra(OH)+(mol/kgw),m_Ra(OH)2(mol/kgw),m_Ra(HCO3)+(mol/kgw),m_Ra(CO3)(mol/kgw),m_FhyOHRa+2(mol/kgw),fSorb,k1,totRa,sites
2.0,5.97705863996e-10,5.94233295245e-10,3.4414909023e-12,3.1075384905e-14,1.39462620266e-21,3.29487471972e-34,2.46259263749e-18,8.41303030413e-25,1.94134922344e-13,0.000324696443542,10.0,5.979e-10,6.23e-06
2.1,5.97687816902e-10,5.94839690562e-10,2.82760591482e-12,2.05172202907e-14,1.81441116432e-21,5.45446522845e-34,3.20382784889e-18,1.39260780001e-24,2.12182032585e-13,0.000354880577864,10.0,5.979e-10,6.23e-06
2.2,5.97665832281e-10,5.95335891305e-10,2.31644144628e-12,1.34953727703e-14,2.35337129284e-21,8.99338394147e-34,4.15549051686e-18,2.29599081766e-24,2.34167415333e-13,0.000391650306971,10.0,5.979e-10,6.23e-06
2.3,5.97639091063e-10,5.95737705385e-10,1.89253466805e-12,8.84563269769e-15,3.04380991553e-21,1.47732575541e-33,5.37461485978e-18,3.77137047869e-24,2.60909801132e-13,0.000436375542344,10.0,5.979e-10,6.23e-06
2.4,5.97606729325e-10,5.96058616612e-10,1.54232661202e-12,5.77916373941e-15,3.92655200301e-21,2.41843824562e-33,6.93327833857e-18,6.17359311148e-24,2.93272917473e-13,0.000490501212695,10.0,5.979e-10,6.23e-06
2.5,5.97567794216e-10,5.96309991915e-10,1.2540288737e-12,3.76450017782e-15,5.05316616545e-21,3.94656635239e-33,8.92252312008e-18,1.00740827486e-23,3.3220938426e-13,0.000555620979924,10.0,5.979e-10,6.23e-06
2.6,5.97521189278e-10,5.96501257636e-10,1.01747467665e-12,2.44550222771e-15,6.48876246533e-21,6.42161991648e-33,1.14572921294e-17,1.63913937321e-23,3.78815590332e-13,0.000633568693016,10.0,5.979e-10,6.23e-06
2.7,5.97465612959e-10,5.96640051468e-10,8.23962068161e-13,1.58473195569e-15,8.31551420826e-21,1.04212447881e-32,1.46826421941e-17,2.65997359203e-23,4.34392965198e-13,0.0007265212253,10.0,5.979e-10,6.23e-06
2.8,5.97399487995e-10,5.96732348952e-10,6.66095603885e-13,1.0246467253e-15,1.06370895429e-20,1.68712263423e-32,1.87815588016e-17,4.30617160288e-23,5.00518791276e-13,0.000837116583212,10.0,5.979e-10,6.23e-06
2.9,5.97320872192e-10,5.96782555467e-10,5.37631545285e-13,6.61181222337e-16,1.35842256577e-20,2.72534068812e-32,2.39847843302e-17,6.9558826259e-23,5.79135202716e-13,0.0009686031241,10.0,5.979e-10,6.23e-06
