pH,Ra(mol/kgw),m_Ra+2(mol/kgw),m_RaCl+(mol/kgw),m_RaCl2(mol/kgw),m_Ra(OH)+(mol/kgw),m_Ra(OH)2(mol/kgw),m_Ra(HCO3)+(mol/kgw),m_Ra(CO3)(mol/kgw),m_FhyOHRa+2(mol/kgw),fSorb,k1,totRa,sites
2.0,4.05453504645e-10,4.03107297667e-10,2.32529776165e-12,2.09086782042e-14,9.46361958501e-22,2.23606271602e-34,5.36964636215e-19,1.83463907284e-25,1.92446494246e-10,0.321870706398,10.0,5.979e-10,6.23e-06
2.1,3.68148198682e-10,3.66402303728e-10,1.73337986979e-12,1.25144492368e-14,1.1180001813e-21,3.3613055423e-34,6.34345890628e-19,2.75762311764e-25,2.29751800209e-10,0.384264594945,10.0,5.979e-10,6.23e-06
2.2,3.29006410714e-10,3.27731088106e-10,1.26797833554e-12,7.34353603107e-15,1.29599749139e-21,4.95324585975e-34,7.35331582326e-19,4.06334424887e-25,2.68893588588e-10,0.449730037274,10.0,5.979e-10,6.23e-06
2.3,2.89347377836e-10,2.8843289276e-10,9.10258807646e-13,4.22543031584e-15,1.4742570713e-21,7.15628459167e-34,8.36461135875e-19,5.87019857197e-25,3.08552621997e-10,0.516060582311,10.0,5.979e-10,6.23e-06
2.4,2.50521406875e-10,2.49877324923e-10,6.41695303063e-13,2.38571343928e-15,1.64672264787e-21,1.01438185765e-33,9.34296771291e-19,8.32034138809e-25,3.47378593427e-10,0.580997814224,10.0,5.979e-10,6.23e-06
2.5,2.1373558986e-10,2.13289532869e-10,4.44732606318e-13,1.32335746631e-15,1.80815138225e-21,1.41237104046e-33,1.02586201474e-18,1.15841604259e-24,3.84164410762e-10,0.642522846864,10.0,5.979e-10,6.23e-06
2.6,1.79921687948e-10,1.79617477444e-10,3.03487041408e-13,7.22351252662e-16,1.95466669752e-21,1.93469965429e-33,1.10895531518e-18,1.58673969735e-24,4.17978312821e-10,0.699077290604,10.0,5.979e-10,6.23e-06
2.7,1.49672419314e-10,1.49467750165e-10,2.04279240991e-13,3.88723724271e-16,2.0839875118e-21,2.61205790409e-33,1.18228001622e-18,2.14215214081e-24,4.48227581447e-10,0.749669812152,10.0,5.979e-10,6.23e-06
2.8,1.23246440533e-10,1.23110349099e-10,1.35883549111e-13,2.06637667951e-16,2.19534906793e-21,3.48243402501e-33,1.24539930061e-18,2.85577160925e-24,4.74653560106e-10,0.793867803089,10.0,5.979e-10,6.23e-06
2.9,1.00622742368e-10,1.00533142405e-10,8.94899442634e-14,1.08717879341e-16,2.28921407151e-21,4.59330528426e-33,1.29857211633e-18,3.76647592461e-24,4.97277258079e-10,0.831706401794,10.0,5.979e-10,6.23e-06
3.0,8.15783224523e-11,8.1519811688e-11,5.84527017291e-14,5.67176110302e-17,2.36689656858e-21,6.00436813059e-33,1.34253955027e-18,4.92312801889e-24,5.16321677772e-10,0.863558584291,10.0,5.979e-10,6.23e-06
3.1,6.5766850223e-11,6.57288926918e-11,3.79267606904e-14,2.93897942683e-17,2.43019765665e-21,7.79091092048e-33,1.37831786953e-18,6.38732047899e-24,5.32133149779e-10,0.890003595546,10.0,5.979e-10,6.23e-06
3.2,5.27847226068e-11,5.27602263528e-11,2.44796949517e-14,1.51495276656e-17,2.48110987496e-21,1.00479874457e-32,1.40703047388e-18,8.23676421227e-24,5.45115277193e-10,0.911716469967,10.0,5.979e-10,6.23e-06
3.3,4.22193198707e-11,4.22035739073e-11,1.57367522243e-14,7.77887344083e-18,2.52160867657e-21,1.2895609464e-32,1.42978918546e-18,1.05694927947e-23,5.55680679758e-10,0.929387322511,10.0,5.979e-10,6.23e-06
3.4,3.36799751436e-11,3.36698834079e-11,1.00863018316e-14,3.98363140409e-18,2.55352461788e-21,1.64852419352e-32,1.4476212436e-18,1.35091034667e-23,5.6422002435e-10,0.943669551524,10.0,5.979e-10,6.23e-06
3.5,2.68149580074e-11,2.68085030766e-11,6.45142985623e-15,2.03689545284e-18,2.57847873485e-21,2.10079602654e-32,1.46143203195e-18,1.7211310919e-23,5.71085041389e-10,0.955151433338,10.0,5.979e-10,6.23e-06
3.6,2.13184709994e-11,2.1314347127e-11,4.12135688272e-15,1.04096576849e-18,2.59786167508e-21,2.67047211767e-32,1.47199248091e-18,2.1872154927e-23,5.76581528335e-10,0.964344420473,10.0,5.979e-10,6.23e-06
3.7,1.69312349543e-11,1.69286014302e-11,2.63150925261e-15,5.32253854406e-19,2.6128399451e-21,3.38793154251e-32,1.47994166433e-18,2.77382814653e-23,5.80968764352e-10,0.971682162645,10.0,5.979e-10,6.23e-06
3.8,1.34374047038e-11,1.34357223964e-11,1.68054637944e-15,2.72555449478e-19,2.62437692046e-21,4.29147200907e-32,1.48579753396e-18,3.51198126021e-23,5.84462594607e-10,0.977525665322,10.0,5.979e-10,6.23e-06
3.9,1.06597083836e-11,1.06586325883e-11,1.07416268632e-15,1.39927298576e-19,2.63326035326e-21,5.42937609576e-32,1.4899710434e-18,4.44064360736e-23,5.87240290965e-10,0.982171419328,10.0,5.979e-10,6.23e-06
4.0,8.4540089809e-12,8.45331977475e-12,6.87638570251e-16,7.21029941754e-20,2.64013134077e-21,6.86252449573e-32,1.49278073297e-18,5.60874829996e-23,5.89445990437e-10,0.985860496771,10.0,5.979e-10,6.23e-06
4.1,6.70398222351e-12,6.70353949383e-12,4.41195158654e-16,3.73375750329e-20,2.64551200419e-21,8.66770466257e-32,1.49446612868e-18,7.07769223979e-23,5.91196017301e-10,0.988787452377,10.0,5.979e-10,6.23e-06
4.2,5.31626788616e-12,5.31598243849e-12,2.83930284127e-16,1.9457014301e-20,2.6498306194e-21,1.09418055455e-31,1.49519913885e-18,8.92443821962e-23,5.92583731784e-10,0.991108433039,10.0,5.979e-10,6.23e-06
4.3,4.21624170753e-12,4.2160567747e-12,1.8342475783e-16,1.02188018879e-20,2.65344385346e-21,1.38071446812e-31,1.49509313134e-18,1.12453502232e-22,5.93683758157e-10,0.99294824936,10.0,5.979e-10,6.23e-06
4.4,3.34443338297e-12,3.34431282519e-12,1.19055356028e-16,5.41790763042e-21,2.65665628223e-21,1.74182475499e-31,1.4942096517e-18,1.41609121982e-22,5.94555566731e-10,0.994406366645,10.0,5.979e-10,6.23e-06
4.5,2.6535515903e-12,2.65347238088e-12,7.77111158545e-17,2.90488258995e-21,2.65973764248e-21,2.1970497599e-31,1.49256288457e-18,1.7821497962e-22,5.95246448843e-10,0.995561880598,10.0,5.979e-10,6.23e-06
4.6,2.10604760242e-12,2.1059950497e-12,5.10581332808e-17,1.57784045841e-21,2.66293840915e-21,2.771120851e-31,1.49012202812e-18,2.24143707163e-22,5.95793953234e-10,0.996477592235,10.0,5.979e-10,6.23e-06
4.7,1.67213996679e-12,1.67210467882e-12,3.37973439731e-17,8.69712272467e-22,2.66650435259e-21,3.49538524573e-31,1.48681179031e-18,2.81720881018e-22,5.96227861376e-10,0.997203311646,10.0,5.979e-10,6.23e-06
4.8,1.32822461705e-12,1.32820057427e-12,2.25567557184e-17,4.87202488921e-22,2.67069076665e-21,4.40964304708e-31,1.48251126026e-18,3.53824625795e-22,5.96571777361e-10,0.997778517115,10.0,5.979e-10,6.23e-06
4.9,1.05560194622e-12,1.05558527782e-12,1.51879501191e-17,2.77668840402e-22,2.67577709182e-21,5.56453252029e-31,1.47705148648e-18,4.44001626071e-22,5.96844400824e-10,0.998234484117,10.0,5.979e-10,6.23e-06
5.0,8.39461532439e-13,8.39449739165e-13,1.03196622134e-17,1.61068717006e-22,2.6820827085e-21,7.02464801226e-31,1.47021223553e-18,5.56599184758e-22,5.97060542224e-10,0.998595983388,10.0,5.979e-10,6.23e-06
5.1,6.68074577186e-13,6.68066037386e-13,7.07459966558e-18,9.50511397933e-23,2.68998475402e-21,8.87264749721e-31,1.46171863535e-18,6.96910955153e-22,5.97231930401e-10,0.998882631582,10.0,5.979e-10,6.23e-06
5.2,5.32152799503e-13,5.32146454824e-13,4.88981247922e-18,5.69724211127e-23,2.69993893388e-21,1.12147126354e-30,1.45123875322e-18,8.71330963154e-22,5.97367853689e-10,0.99910996354,10.0,5.979e-10,6.23e-06
5.3,4.24340153072e-13,4.24335308144e-13,3.40270933654e-18,3.45801050121e-23,2.71250446121e-21,1.41878805885e-30,1.43838362862e-18,1.08750645931e-21,5.9747566819e-10,0.9992902824,10.0,5.979e-10,6.23e-06
5.4,3.38810204059e-13,3.38806398564e-13,2.37867939791e-18,2.11549472586e-23,2.72837447858e-21,1.79700001874e-30,1.42271185569e-18,1.35447528961e-21,5.97561200405e-10,0.999433332992,10.0,5.979e-10,6.23e-06
5.5,2.70947381316e-13,2.70944308047e-13,1.66508323859e-18,1.29573786161e-23,2.74841360477e-21,2.27934167064e-30,1.40374140058e-18,1.68276886244e-21,5.97629065975e-10,0.999546834953,10.0,5.979e-10,6.23e-06
5.6,2.17094705606e-13,2.17092157807e-13,1.16196128107e-18,7.87266535248e-24,2.77370462305e-21,2.89640239803e-30,1.38097175155e-18,2.0844596298e-21,5.97682921954e-10,0.999636904657,10.0,5.979e-10,6.23e-06
